function,level,meta_score
SwapReservationData,L1,0.5891927083333334
SortReservationsByDate,L1,0.2936197916666667
SortReservationsByDateScreen,L1,0.3489583333333333
ReservationManagementMenu,L1,0.7467447916666666
PauseProgram,L2,0.5963541666666666
ScreenHeader,L2,0.23567708333333331
ReadIntBetween,L2,0.509765625
ReadDate,L2,0.5455729166666666
ReadTime,L2,0.4251302083333333
IsDate1BeforeDate2,L2,0.7265625
IsTime1BeforeTime2,L2,0.68359375
ExitScreen,L2,0.41276041666666663
MainMenu,L2,0.333984375
main,L2,0.43131510416666663
DisplayUserCard,L2,0.318359375
ReadUserInfo,L2,0.19986979166666666
SearchUserByFirstName,L2,0.28190104166666663
SearchUserByID,L2,0.27148437500000006
AddNewUser,L2,0.6705729166666666
DeleteUserByID,L2,0.7122395833333333
AddNewUserScreen,L2,0.5865885416666666
SearchUserByFirstNameScreen,L2,0.35514322916666663
SearchUserByIDScreen,L2,0.537109375
DisplayUserListScreen,L2,0.283203125
DeleteUserScreen,L2,0.21223958333333334
UserManagementMenu,L2,0.39062499999999994
DisplayRoomCard,L2,0.7438151041666666
ReadRoomInfo,L2,0.5494791666666666
SearchRoomByID,L2,0.3873697916666667
AddNewRoom,L2,0.5856119791666666
SearchRoomByName,L2,0.6790364583333333
DeleteRoomByID,L2,0.365234375
AddNewRoomScreen,L2,0.7415364583333334
SearchRoomByNameScreen,L2,0.29296874999999994
SearchRoomByIDScreen,L2,0.5481770833333334
DisplayRoomListScreen,L2,0.5592447916666666
DeleteRoomScreen,L2,0.48437499999999994
CheckRoomAvailabilityScreen,L2,0.6507161458333333
RoomManagementMenu,L2,0.328125
DisplayReservationCard,L2,0.3294270833333333
SearchReservationByID,L2,0.5930989583333334
DeleteReservationByID,L2,0.5266927083333333
ReadReservationPeriod,L2,0.4733072916666667
ReadReservationInfo,L2,0.24348958333333334
AddNewReservation,L2,0.7529296874999999
AddNewReservationScreen,L2,0.5107421875
DeleteReservationScreen,L2,0.5878906249999999
DisplayReservationsScreen,L2,0.48828125
SwapReservationData,L2,0.5709635416666666
SortReservationsByDate,L2,0.43749999999999994
SortReservationsByDateScreen,L2,0.2708333333333333
ReservationManagementMenu,L2,0.6438802083333333
PauseProgram,L3,0.5690104166666666
ScreenHeader,L3,0.49609374999999994
ReadIntBetween,L3,0.7200520833333334
ReadDate,L3,0.6080729166666666
ReadTime,L3,0.4459635416666667
IsDate1BeforeDate2,L3,0.6891276041666666
IsTime1BeforeTime2,L3,0.5403645833333333
ExitScreen,L3,0.41308593749999994
MainMenu,L3,0.34830729166666663
main,L3,0.17643229166666666
DisplayUserCard,L3,0.5579427083333334
ReadUserInfo,L3,0.19466145833333331
SearchUserByFirstName,L3,0.3639322916666667
SearchUserByID,L3,0.45019531249999994
AddNewUser,L3,0.68359375
DeleteUserByID,L3,0.255859375
AddNewUserScreen,L3,0.4368489583333333
SearchUserByFirstNameScreen,L3,0.5520833333333333
SearchUserByIDScreen,L3,0.61328125
DisplayUserListScreen,L3,0.19270833333333331
DeleteUserScreen,L3,0.3606770833333333
UserManagementMenu,L3,0.38248697916666663
DisplayRoomCard,L3,0.7919921874999999
ReadRoomInfo,L3,0.6477864583333334
SearchRoomByID,L3,0.44303385416666663
AddNewRoom,L3,0.7835286458333334
SearchRoomByName,L3,0.85546875
DeleteRoomByID,L3,0.39127604166666663
AddNewRoomScreen,L3,0.705078125
SearchRoomByNameScreen,L3,0.23828125
SearchRoomByIDScreen,L3,0.705078125
DisplayRoomListScreen,L3,0.4876302083333333
DeleteRoomScreen,L3,0.49804687499999994
CheckRoomAvailabilityScreen,L3,0.7542317708333334
RoomManagementMenu,L3,0.326171875
DisplayReservationCard,L3,0.30338541666666663
SearchReservationByID,L3,0.42187500000000006
DeleteReservationByID,L3,0.6171875
ReadReservationPeriod,L3,0.5159505208333334
ReadReservationInfo,L3,0.19856770833333334
AddNewReservation,L3,0.8489583333333333
AddNewReservationScreen,L3,0.466796875
DeleteReservationScreen,L3,0.3427734375
DisplayReservationsScreen,L3,0.5084635416666666
SwapReservationData,L3,0.5950520833333333
SortReservationsByDate,L3,0.4563802083333333
SortReservationsByDateScreen,L3,0.3053385416666667
ReservationManagementMenu,L3,0.6477864583333334
PauseProgram,L4,0.5755208333333333
ScreenHeader,L4,0.35351562499999994
ReadIntBetween,L4,0.7265625
ReadDate,L4,0.603515625
ReadTime,L4,0.5944010416666666
IsDate1BeforeDate2,L4,0.7809244791666666
IsTime1BeforeTime2,L4,0.5013020833333333
ExitScreen,L4,0.4016927083333333
MainMenu,L4,0.36783854166666663
main,L4,0.18619791666666666
DisplayUserCard,L4,0.3977864583333333
ReadUserInfo,L4,0.22102864583333334
SearchUserByFirstName,L4,0.40104166666666663
SearchUserByID,L4,0.4602864583333333
AddNewUser,L4,0.6884765624999999
DeleteUserByID,L4,0.7819010416666666
AddNewUserScreen,L4,0.4674479166666667
SearchUserByFirstNameScreen,L4,0.34570312499999994
SearchUserByIDScreen,L4,0.59375
DisplayUserListScreen,L4,0.27994791666666663
DeleteUserScreen,L4,0.3395182291666667
UserManagementMenu,L4,0.21647135416666666
DisplayRoomCard,L4,0.8336588541666666
ReadRoomInfo,L4,0.5615234375
SearchRoomByID,L4,0.568359375
AddNewRoom,L4,0.7731119791666666
SearchRoomByName,L4,0.7600911458333334
DeleteRoomByID,L4,0.521484375
AddNewRoomScreen,L4,0.5618489583333333
SearchRoomByNameScreen,L4,0.21419270833333334
SearchRoomByIDScreen,L4,0.673828125
DisplayRoomListScreen,L4,0.4270833333333333
DeleteRoomScreen,L4,0.5319010416666666
CheckRoomAvailabilityScreen,L4,0.8125
RoomManagementMenu,L4,0.4544270833333333
DisplayReservationCard,L4,0.21484375
SearchReservationByID,L4,0.5182291666666666
DeleteReservationByID,L4,0.6337890625
ReadReservationPeriod,L4,0.4537760416666667
ReadReservationInfo,L4,0.18229166666666669
AddNewReservation,L4,0.8746744791666666
AddNewReservationScreen,L4,0.41015625
DeleteReservationScreen,L4,0.45019531249999994
DisplayReservationsScreen,L4,0.4876302083333333
SwapReservationData,L4,0.5475260416666666
SortReservationsByDate,L4,0.4381510416666667
SortReservationsByDateScreen,L4,0.21842447916666666
ReservationManagementMenu,L4,0.5462239583333333
PauseProgram,L5,0.533203125
ScreenHeader,L5,0.3919270833333333
ReadIntBetween,L5,0.7503255208333333
ReadDate,L5,0.6119791666666666
ReadTime,L5,0.46875
IsDate1BeforeDate2,L5,0.8089192708333334
IsTime1BeforeTime2,L5,0.5748697916666666
ExitScreen,L5,0.33984374999999994
MainMenu,L5,0.5022786458333334
main,L5,0.17220052083333334
DisplayUserCard,L5,0.47981770833333326
ReadUserInfo,L5,0.3307291666666667
SearchUserByFirstName,L5,0.4036458333333333
SearchUserByID,L5,0.45898437500000006
AddNewUser,L5,0.6702473958333333
DeleteUserByID,L5,0.8388671874999999
AddNewUserScreen,L5,0.515625
SearchUserByFirstNameScreen,L5,0.48046874999999994
SearchUserByIDScreen,L5,0.59375
DisplayUserListScreen,L5,0.2747395833333333
DeleteUserScreen,L5,0.3515625
UserManagementMenu,L5,0.4938151041666667
DisplayRoomCard,L5,0.7884114583333334
ReadRoomInfo,L5,0.6474609375
SearchRoomByID,L5,0.548828125
AddNewRoom,L5,0.748046875
SearchRoomByName,L5,0.7327473958333334
DeleteRoomByID,L5,0.5533854166666666
AddNewRoomScreen,L5,0.6334635416666666
SearchRoomByNameScreen,L5,0.17057291666666669
SearchRoomByIDScreen,L5,0.630859375
DisplayRoomListScreen,L5,0.4264322916666667
DeleteRoomScreen,L5,0.3821614583333333
CheckRoomAvailabilityScreen,L5,0.8238932291666666
RoomManagementMenu,L5,0.486328125
DisplayReservationCard,L5,0.17447916666666666
SearchReservationByID,L5,0.6647135416666666
DeleteReservationByID,L5,0.6455078125
ReadReservationPeriod,L5,0.48111979166666663
ReadReservationInfo,L5,0.20572916666666669
AddNewReservation,L5,0.8675130208333334
AddNewReservationScreen,L5,0.2805989583333333
DeleteReservationScreen,L5,0.3922526041666667
DisplayReservationsScreen,L5,0.6223958333333333
SwapReservationData,L5,0.6549479166666666
SortReservationsByDate,L5,0.28776041666666663
SortReservationsByDateScreen,L5,0.22298177083333331
ReservationManagementMenu,L5,0.5188802083333333
PauseProgram,L6,0.5413411458333333
ScreenHeader,L6,0.3219401041666667
ReadIntBetween,L6,0.7451171874999999
ReadDate,L6,0.6682942708333333
ReadTime,L6,0.46875
IsDate1BeforeDate2,L6,0.8147786458333333
IsTime1BeforeTime2,L6,0.7613932291666666
ExitScreen,L6,0.34472656249999994
MainMenu,L6,0.5032552083333333
main,L6,0.18391927083333334
DisplayUserCard,L6,0.5699869791666666
ReadUserInfo,L6,0.4231770833333333
SearchUserByFirstName,L6,0.38932291666666663
SearchUserByID,L6,0.4036458333333333
AddNewUser,L6,0.583984375
DeleteUserByID,L6,0.8688151041666666
AddNewUserScreen,L6,0.57421875
SearchUserByFirstNameScreen,L6,0.5397135416666667
SearchUserByIDScreen,L6,0.6119791666666666
DisplayUserListScreen,L6,0.2639973958333333
DeleteUserScreen,L6,0.3359375
UserManagementMenu,L6,0.578125
DisplayRoomCard,L6,0.7581380208333334
ReadRoomInfo,L6,0.67578125
SearchRoomByID,L6,0.49446614583333326
AddNewRoom,L6,0.6236979166666666
SearchRoomByName,L6,0.830078125
DeleteRoomByID,L6,0.6236979166666666
AddNewRoomScreen,L6,0.5735677083333334
SearchRoomByNameScreen,L6,0.21809895833333331
SearchRoomByIDScreen,L6,0.7669270833333333
DisplayRoomListScreen,L6,0.41796875
DeleteRoomScreen,L6,0.59765625
CheckRoomAvailabilityScreen,L6,0.8196614583333333
RoomManagementMenu,L6,0.3880208333333333
DisplayReservationCard,L6,0.2607421875
SearchReservationByID,L6,0.7337239583333333
DeleteReservationByID,L6,0.6282552083333333
ReadReservationPeriod,L6,0.7018229166666666
ReadReservationInfo,L6,0.2819010416666667
AddNewReservation,L6,0.75390625
AddNewReservationScreen,L6,0.375
DeleteReservationScreen,L6,0.5182291666666666
DisplayReservationsScreen,L6,0.6565755208333334
SwapReservationData,L6,0.673828125
SortReservationsByDate,L6,0.296875
SortReservationsByDateScreen,L6,0.2939453125
ReservationManagementMenu,L6,0.7526041666666666
PauseProgram,L7,0.5735677083333333
ScreenHeader,L7,0.30045572916666663
ReadIntBetween,L7,0.6774088541666666
ReadDate,L7,0.6370442708333333
ReadTime,L7,0.43424479166666663
IsDate1BeforeDate2,L7,0.7060546875
IsTime1BeforeTime2,L7,0.7073567708333334
ExitScreen,L7,0.34375
MainMenu,L7,0.5032552083333333
main,L7,0.193359375
DisplayUserCard,L7,0.6598307291666666
ReadUserInfo,L7,0.46842447916666663
SearchUserByFirstName,L7,0.46744791666666663
SearchUserByID,L7,0.46484375
AddNewUser,L7,0.5703125
DeleteUserByID,L7,0.8736979166666666
AddNewUserScreen,L7,0.48697916666666663
SearchUserByFirstNameScreen,L7,0.5345052083333333
SearchUserByIDScreen,L7,0.640625
DisplayUserListScreen,L7,0.2685546875
DeleteUserScreen,L7,0.3082682291666667
UserManagementMenu,L7,0.5690104166666666
DisplayRoomCard,L7,0.833984375
ReadRoomInfo,L7,0.37500000000000006
SearchRoomByID,L7,0.5455729166666666
AddNewRoom,L7,0.5725911458333333
SearchRoomByName,L7,0.8580729166666666
DeleteRoomByID,L7,0.8040364583333334
AddNewRoomScreen,L7,0.5338541666666666
SearchRoomByNameScreen,L7,0.3763020833333333
SearchRoomByIDScreen,L7,0.634765625
DisplayRoomListScreen,L7,0.4778645833333333
DeleteRoomScreen,L7,0.38736979166666663
CheckRoomAvailabilityScreen,L7,0.8030598958333333
RoomManagementMenu,L7,0.3919270833333333
DisplayReservationCard,L7,0.2607421875
SearchReservationByID,L7,0.7076822916666666
DeleteReservationByID,L7,0.6243489583333334
ReadReservationPeriod,L7,0.275390625
ReadReservationInfo,L7,0.24414062499999997
AddNewReservation,L7,0.7711588541666666
AddNewReservationScreen,L7,0.33658854166666663
DeleteReservationScreen,L7,0.49218749999999994
DisplayReservationsScreen,L7,0.62890625
SwapReservationData,L7,0.32291666666666663
SortReservationsByDate,L7,0.283203125
SortReservationsByDateScreen,L7,0.4078776041666667
ReservationManagementMenu,L7,0.734375
